date,next_date,num_picks,portfolio_return,universe_return,spy_return,excess_return,turnover
2024-03-31,2024-06-30,11,-9.91,-2.79,4.38,-7.12,
2024-06-30,2024-09-30,9,5.92,8.4,5.75,-2.48,46.2
2024-09-30,2024-12-31,7,-1.68,-2.22,2.49,0.54,40.0
2024-12-31,2025-03-31,6,2.98,-1.24,-4.27,4.22,14.3
2025-03-31,2025-06-30,3,17.35,6.8,10.78,10.55,71.4
2025-06-30,2025-09-30,6,-11.73,4.82,8.12,-16.55,71.4
2025-09-30,2025-12-31,4,-2.54,1.46,2.67,-4.01,57.1
2025-12-31,2026-03-31,2,14.98,0.73,-4.37,14.25,80.0
